smiles,standard_value,PCFE,RTlogD,ADMETlab2.0,w/o microscopic pKa,w/o pre-training and microscopic pKa,w/o pre-training,no_logp,swap_strategy,all_task_scaffold,replace_macropka,Instant Jchem,logp_simi,RT_simi,logD_simi,logp_smi
N=C(N)NC(=O)c1nc(-c2cncnc2)c(N)nc1N,0.5,-0.93,-0.345,-0.81,-0.849,0.119,-1.023,-0.115151405,0.22764492,-0.052912235,-0.88629484,-1.296011904,0.38,0.25,0.673469388,0.38
Cn1c(COc2cccc(C(=O)O)c2)nc2ccc(Oc3cccnc3)cc21,0.5,1.07,0.784,2.369,0.386,0.823,0.391,1.1018274,0.6900085,0.74629974,0.7103503,-0.092927583,0.379310345,0.396825397,0.818181818,0.4
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-n5cnnc5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,0.54,1.11,1.456,1.858,1.387,0.694,1.458,0.93902445,1.9898199,0.7744372,0.80985165,0.01,0.1875,0.188235294,0.223404255,0.193548387
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1C1CCOCC1,0.55,1.77,1.593,0.765,0.986,0.91,1.316,0.752972,1.2845341,1.215463,1.2278061,1.197872775,0.246153846,0.323076923,0.35,0.246153846
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2ccc(N3CCN(CCOc4cc5ncnc(Nc6[nH]nc(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)nc2)CC1,0.55,3.04,2.835,3.222,2.941,1.643,1.152,2.2580748,1.7887738,2.0671692,2.3045352,3.853883273,0.214814815,0.259259259,0.302631579,0.214814815
CC(OC(=O)OC1CCCCC1)OC(=O)[C@@H]1[C@@H]2[C@H]1C[C@H](F)[C@@]2(N)C(=O)O,0.58,0.81,-0.369,1.656,0.089,0.903,0.668,1.1386011,1.6109437,0.10575557,0.829455,-0.41,0.272727273,0.21875,0.202702703,0.272727273
CCN(CC)Cc1ccc(O)c(-c2cc3c(-c4ccc(C(=O)O)c(C(C)C)c4)ccnc3[nH]2)c1,0.59,3.36,2.046,3.881,2.357,2.078,2.224,2.884248,2.7004042,2.4803278,1.3352581,2.94,0.253731343,0.344086022,0.284090909,0.277777778
CCC/N=C1\S/C(=C\c2ccc(O)c(Cl)c2)C(=O)N1C1CCN(C)C(=O)C1,0.6,2.69,2.499,2.443,2.494,2.521,3.59,2.4361825,2.471315,2.6004078,3.0763726,2.64,0.261904762,0.280487805,0.226666667,0.261904762
C[C@@H]1OCC2(CCN(c3cnc(Sc4ccnc(N)c4Cl)c(N)n3)CC2)[C@@H]1N,0.6,0.61,0.912,1.779,1.192,0.897,0.966,0.68909,0.39489377,1.7867393,1.2281679,-0.38,0.176470588,0.236842105,0.235294118,0.176470588
COC(=O)[C@H]1CSCc2ccccc2C(=O)OC[C@@H](NC(=O)[C@@H]2CCCN2C(C)=O)CN1,0.6,0.7,0.66,1.237,0.609,0.886,0.445,0.32703876,0.4076532,0.003968239,0.19341564,0.5,0.323529412,0.268041237,0.284210526,0.323529412
Cc1cc(NS(=O)(=O)c2ccc(N(C)C)cc2)no1,0.6,1.14,1.44,0.971,1.328,1.235,1.661,1.8752694,1.2999051,1.5832849,1.7695768,0.933912984,0.488372093,0.457627119,0.346938776,0.488372093
C[C@H]1[C@H](O)CN1c1nc(N2C[C@@H]3C(C(=O)O)[C@@H]3C2)cc(C(F)(F)F)c1C#N,0.6,1.02,1.088,1.754,0.769,0.043,-0.007,1.2628864,0.12721944,0.17582369,1.1147555,-1.422027218,0.223880597,0.25974026,0.307692308,0.223880597
CNC(=O)c1nc(C)n2ccc(Nc3nccc(-n4cc(OCCN)cn4)n3)cc12,0.6,0.77,0.734,1.914,1.197,0.634,0.32,0.8667402,0.6059406,0.7737452,1.6914785,-1.941837421,0.246575342,0.277777778,0.340909091,0.246575342
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCCNC5)c(C)n4)n3)cc12,0.6,1.2,1.391,2.937,1.498,2.291,1.356,1.3486557,1.3351314,1.8535343,1.8760647,-0.607572671,0.202020202,0.292134831,0.315217391,0.202020202
O=C(N[C@H]1CCNCC1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,0.6,1.04,1.07,1.744,1.292,1.297,1.19,1.0829461,1.0429375,0.9047743,0.70409334,-0.810759663,0.220930233,0.337078652,0.363636364,0.225806452
O=C(N[C@H]1CCN(c2nccn3ccnc23)C1)C1[C@H]2CN(C(=O)C3CCCO3)C[C@@H]12,0.6,0.8,1.057,1,0.918,0.806,1.121,0.76265407,0.7108631,1.0920855,1.2251633,-1.251392842,0.311688312,0.392405063,0.325,0.311688312
CC(=O)c1ccc(N2CCN(C(=O)c3cnn(C)c3)CC2)cc1,0.6,1.51,1.14,1.082,1.056,1.084,0.848,1.1840948,0.9516021,0.923746,0.5290164,0.994984064,0.436363636,0.50877193,0.360655738,0.512195122
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)c4cocn4)C3)ncnc21,0.6,0.42,0.538,1.018,0.409,0.273,0.856,0.5594481,0.40207958,0.41075802,0.8097912,0.402243718,0.211764706,0.357142857,0.481481481,0.24691358
O=C1c2ccccc2CN2CCCN1CC2,0.6,0.85,0.987,0.933,0.768,0.651,0.658,0.6352805,0.85857785,0.5955328,0.41629076,0.531954309,0.365853659,0.363636364,0.472222222,0.369565217
Cn1cc(Nc2nc(N[C@H]3CC[C@H](N(C)C)CC3)c3cccn3n2)cn1,0.6,1.57,0.223,1.83,0.851,0.543,0.955,0.85858285,0.51470256,1.1267326,0.4339111,-0.196550017,0.202247191,0.263157895,0.551724138,0.202247191
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CCOC4)C3)ncnc21,0.6,0.3,0.818,0.806,0.599,0.172,0.849,0.5862417,0.09700489,0.66306174,0.6960529,0.345175806,0.206896552,0.348837209,0.602564103,0.24691358
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2cnc(N3CCC(CCOc4cc5ncnc(Nc6n[nH]c(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)nc2)CC1,0.61,3.58,3.428,3.652,3.654,2.394,2.03,3.085214,1.3703768,3.3201666,2.8127291,4.8,0.207407407,0.268115942,0.26344086,0.207407407
COc1ccc(CN)cc1-c1cc2c(-c3ccc(C(=O)O)c(C(C)C)c3)ccnc2[nH]1,0.61,2.28,1.621,2.857,1.285,1.704,1.603,1.5470209,1.9916965,1.9631181,0.71959376,2.038636,0.287878788,0.329113924,0.3125,0.287878788
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2ccc(N3CCN(CCCOc4cc5ncnc(Nc6n[nH]c(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)nc2)CC1,0.64,3.13,2.744,3.282,2.833,1.658,0.827,2.114942,1.1739395,2.0872612,2.5569527,4.48,0.231343284,0.265306122,0.286624204,0.231343284
COC(=O)[C@H]1CSCc2ccccc2C(=O)OC[C@H](NC(=O)[C@@H]2CCCN2C(C)=O)CN1,0.65,0.69,0.66,1.285,0.609,0.886,0.445,0.32229793,0.3408928,0.2854619,0.3275329,0.5,0.323529412,0.268041237,0.284210526,0.323529412
CCN(CC)Cc1ccc(OC)c(-c2cc3c(-c4ccc(C(=O)O)cc4)ccnc3[nH]2)c1,0.65,2.49,1.1,3.51,1.45,1.08,1.178,1.584444,1.6620467,1.5296596,1.1032053,1.858027589,0.342465753,0.355555556,0.328767123,0.342465753
CCN(CC)Cc1ccc(OC)c(-c2cc3c(-c4ccc(C(=O)O)c(C)c4)ccnc3[nH]2)c1,0.66,2.79,1.612,3.683,1.819,1.466,1.54,2.0160148,2.2306259,1.7917433,1.635855,2.37,0.307692308,0.340425532,0.287671233,0.307692308
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2cnc(N3CCC(CCCOc4cc5ncnc(Nc6n[nH]c(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)nc2)CC1,0.66,3.79,3.68,3.901,3.896,2.745,2.352,3.165538,2.494439,3.7444763,3.242766,5.24,0.205882353,0.26618705,0.264150943,0.205882353
O=C1C(O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,0.67,-0.01,0.574,-0.142,-0.172,-0.394,-0.196,0.34283936,0.6667814,0.4220394,0.89997137,1.478712679,1,0.5,0.37254902,1
CCc1ccn2ccnc2c1N1CCCN(CC2CCN(C(=O)[C@H]3C[C@@H]4CC[C@H]3O4)CC2)CC1,0.7,1.45,1.863,2.82,1.855,1.314,1.897,1.5509299,0.6843966,1.2290432,2.005578,0.09,0.222222222,0.290697674,0.264150943,0.222222222
CCC[C@H]1C(=O)N[C@@H](C2CCCCCC2)C(=O)N[C@@H](CN)C(=O)N[C@@H](COCCCNCCCN)C(=O)N[C@H](C)CO[C@H](CC2CC3(CCC3)C2)[C@@H](C)C(=O)N1C,0.7,1.2,0.245,3.228,1.318,-0.063,-0.194,0.89307976,-0.4585185,0.86368465,0.6627923,-3.38,0.177777778,0.1875,0.256198347,0.179104478
COC(=O)[C@@H]1CSCc2ccccc2C(=O)OC[C@H](NC(=O)[C@@H]2CCCN2C(C)=O)CN1,0.7,0.72,0.66,1.285,0.609,0.886,0.445,0.46111155,0.3568064,0.41175544,0.29158354,0.5,0.323529412,0.268041237,0.284210526,0.323529412
CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NC5CNC5)c(C)n4)n3)cc12,0.7,0.89,1.293,2.505,1.466,1.906,1.476,1.8116856,1.0863793,1.2035071,2.0378153,-0.804044903,0.197368421,0.290322581,0.322222222,0.207317073
O=C(N[C@H]1CCN(c2nccn3ccnc23)C1)C1CCN(C(=O)C2C[C@@H]3CC[C@H]2O3)CC1,0.7,0.69,1.01,1.478,1.025,0.849,1.228,1.24152,0.5172175,1.2524775,1.0312527,-0.414431283,0.204819277,0.302325581,0.307692308,0.204819277
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)N4CC(OC)C4)C3)ncnc21,0.7,0.34,0.568,1.018,0.62,0.183,0.878,0.71738875,0.74576676,0.88241947,0.65486383,0.284024121,0.238095238,0.345238095,0.4875,0.238095238
CCn1c(-c2cnc(C)nc2)nc2c(O[C@H]3CCN(C(=O)c4cocn4)C3)ncnc21,0.7,0.52,0.754,1.382,0.387,0.367,1.127,1.033609,0.30201173,0.58410025,0.42060626,0.64958884,0.226190476,0.360465116,0.4875,0.2625
COc1cc(-c2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)Nc1ccccc1,0.7,1.71,1.121,2.966,0.751,1.486,0.538,1.3462635,1.4897671,0.9773103,1.6642134,1.062363355,0.403225806,0.711538462,0.490566038,0.403225806
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,0.7,0.36,0.507,0.412,0.19,0.38,-0.134,0.29872608,0.40156877,-0.7081008,-0.29236197,0.776944775,0.421052632,0.472972973,0.421052632,0.421052632
CCC(=O)N1CC[C@H](Nc2ncnc3c2nc(-c2cnc(C)nc2)n3CC)C1,0.7,0.58,0.624,1.119,0.653,0.351,0.813,1.064816,0.55926,0.843295,0.91840434,0.964193261,0.230769231,0.35443038,0.637681159,0.253333333
CCn1c(-c2cnc(C)nc2)nc2c(O[C@H]3CCN(C(=O)C4CCOC4)C3)ncnc21,0.7,0.45,0.968,1.174,0.627,0.287,1.003,1.2012742,0.72661805,0.5394578,0.5113028,0.592520928,0.224489796,0.44,0.602564103,0.2625
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CCOCC4)C3)ncnc21,0.7,0.49,0.931,0.953,0.708,0.354,0.98,0.92683256,0.52168286,1.1769577,1.357616,0.619475371,0.211764706,0.358974359,0.662162162,0.253164557
COc1cc2c(cc1OCCCCCCCCC(=O)O)C[C@@H](C(C)C)n1cc(C(=O)O)c(=O)cc1-2,0.7,1.69,1.831,2.424,1.211,0.41,1.771,1.9758763,0.26809824,1.2102748,0.9431157,-1.061784578,0.305555556,0.323943662,0.819672131,0.305555556
Cc1cc2ccnc(NC3CCNCC3C(=O)NC3CCOCC3)c2[nH]c1=O,0.71,0.36,1.034,0.88,0.741,0.139,0.733,0.6590091,0.25809312,0.18581057,0.48096383,-2.38542068,0.246575342,0.284090909,0.590163934,0.246575342
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2cnc(N3CCN(CCCOc4cc5ncnc(Nc6n[nH]c(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)cn2)CC1,0.72,3.07,2.702,3.103,2.619,1.328,0.688,1.9065932,1.3298886,2.3611774,3.1246774,3.65,0.222222222,0.265306122,0.286624204,0.222222222
CCN(CC)Cc1cccc(-c2cc3c(-c4ccc(C(=O)O)c(C(C)C)c4)ccnc3[nH]2)c1OC,0.74,3.27,2.177,4.212,2.137,2.464,2.386,2.9477413,2.80829,2.549487,2.4353406,3.09,0.253333333,0.326530612,0.260869565,0.253333333
Cc1c(-c2ccc3c(c2)CNC3)ccc2c3ocnc3c(=O)n(C3CC3)c12,0.75,1.83,1.477,2.828,1.109,1.978,1.808,2.2075555,1.7883081,0.9092152,2.4348793,1.25,0.197183099,0.25,0.283950617,0.197183099
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)c2cnc(N3CCN(CCCOc4cc5ncnc(Nc6n[nH]c(C)c6C)c5cc4S(=O)(=O)C(C)(C)C)CC3)nc2)CC1,0.78,2.88,2.676,3.045,2.947,1.335,0.804,2.101815,1.0707259,1.9220304,2.859447,3.86,0.213235294,0.275862069,0.288461538,0.213235294
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.787,-0.11,0.279,-0.129,-0.147,0.162,0.075,-0.080872536,0.8082911,-0.4785297,-0.1860807,-0.163246739,0.372093023,0.288888889,0.372093023,0.736842105
CS(=O)(=O)N1CC[C@](CO)(Nc2cc(-c3cnc(N)nc3)nc(N3CCOCC3)n2)C1,0.79,1.47,0.905,-1.113,0.513,0.67,0.672,0.89467037,0.42243266,1.3852527,1.1534731,-1.4486086,0.238636364,0.308641975,0.392857143,0.246753247
O=C(N[C@H]1CCN(c2nccn3ccnc23)C1)[C@@H]1CCCN(C(=O)[C@H]2C[C@@H]3CC[C@H]2O3)CC1,0.8,0.91,1.226,1.67,1.224,1.19,1.464,1.177692,0.8369409,0.9482578,1.7668495,0.03,0.231707317,0.317073171,0.292682927,0.231707317
CCN(CC)Cc1cccc(-c2cc3c(-c4ccc(C(=O)O)c(C(C)C)c4)ccnc3[nH]2)c1,0.8,3.76,1.801,4.382,2.224,2.295,2.521,2.7700896,2.111899,2.1911335,2.5064595,3.260786635,0.292307692,0.453488372,0.305882353,0.319444444
CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCO)cc([N+](=O)[O-])cc1[N+](=O)[O-],0.8,0.75,1.07,0.582,1.413,0.204,1.126,0.48781526,-0.05379343,1.4953865,1.1233531,0.441517966,0.351351351,0.2625,0.310810811,0.351351351
O=C(CC1SCCNC1=O)Nc1ccccc1,0.8,0.5,0.863,0.97,0.049,-0.112,0.486,0.9275203,0.45208454,0.5810549,0.11716294,0.737006075,0.414634146,0.35,0.34,0.414634146
COc1ccccc1NC(=O)CC1SCCNC1=O,0.8,0.36,0.795,0.904,0.089,-0.32,0.621,0.6863034,0.4303236,1.1887738,0.3922943,0.579331099,0.446808511,0.359375,0.370967742,0.470588235
COc1ccc(NC(=O)CC2SCCNC2=O)cc1,0.8,0.55,0.658,1.045,-0.06,-0.05,0.704,0.6739478,0.22158456,1.0197865,0.8146727,0.579334765,0.433962264,0.456140351,0.38,0.433962264
CC1(N)CCN(c2cnc(Sc3ccccc3Cl)c(N)n2)CC1,0.8,2.04,1.879,2.833,1.914,1.3,1.873,2.0470319,1.0012406,2.1179929,1.9459375,0.241506403,0.25,0.301587302,0.345454545,0.25
COc1ccc(NC(=O)C2SCCNC2=O)cc1,0.8,1.25,0.332,0.93,0.201,-0.017,0.48,0.7497188,0.3792702,1.4191715,0.9809542,0.64669423,0.452380952,0.410714286,0.413043478,0.452380952
COc1cc(-c2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)Nc1ccccc1C,0.8,1.63,1.381,2.973,0.403,1.374,0.771,1.3560832,1.3582122,1.1663785,0.9780375,1.575784993,0.338983051,0.660714286,0.471428571,0.34375
COc1cc(-c2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)NC1CCCCC1,0.8,1.64,0.756,2.962,0.584,1.242,0.745,1.4892364,0.6197946,0.8131714,1.7281984,0.844068265,0.402777778,0.637931034,0.440677966,0.402777778
CNc1cc(C)nc(Nc2ccc(OC)c(OCCCN3CCCC3)c2)n1,0.8,2.31,0.71,2.371,1.036,0.696,1.127,0.5900309,1.2551923,1.0948144,1.4418747,0.599342465,0.3,0.386666667,0.44,0.313432836
Cc1cc2c(C3CCOCC3)cnc(NC3CCN(CCCN)CC3)c2[nH]c1=O,0.8,0.16,0.322,1.366,0.077,-0.364,0.758,0.3428434,0.1113317,0.76044214,-0.015755892,-2.363720846,0.240963855,0.302325581,0.5,0.240963855
CCC(=O)N1CC[C@H](Oc2ncnc3c2nc(-c2cnc(C)nc2)n3CC)C1,0.8,0.72,0.832,1.514,0.783,0.536,1.376,1.013647,0.7641076,0.9697739,0.36120307,1.211538382,0.233766234,0.476923077,0.541666667,0.273972603
CN(C)c1cc(C(=O)N2CCC3(CC2)CC(=O)c2nn(C(C)(C)C)cc2O3)cc(-c2ccc(C(=O)O)cc2)n1,0.8,1.33,1.296,2.547,0.396,0.232,0.277,0.8628253,-0.24987006,0.4084401,-0.5158489,0.19178674,0.235294118,0.345679012,0.584415584,0.23655914
COc1ncc(-c2nc(C(=O)N=C(N)N)c(N)nc2N)cn1,0.8,-0.49,0.699,-0.889,-1.144,0.612,-0.085,0.48251438,0.74425495,-0.002793551,0.10809088,-1.08391573,0.283018868,0.307692308,0.692307692,0.283018868
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,0.8,0.75,0.906,1.119,0.671,0.556,1.112,1.3700964,0.52168155,1.2378862,0.6963974,1.030420482,0.225,0.402777778,0.637681159,0.253333333
CCn1c(-c2cnc(C)nc2)nc2c(O[C@H]3CCN(C(=O)C4CCOCC4)C3)ncnc21,0.8,0.61,1.094,1.413,0.786,0.357,1.139,1.2019945,0.65815353,0.60779405,0.72766685,0.866820492,0.229166667,0.492957746,0.662162162,0.269230769
Cc1ccc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)cn1,0.8,1.44,1.164,2.664,0.846,0.932,0.604,1.3193185,1.3305675,1.2143646,1.2254313,0.049682485,0.379310345,0.396825397,0.818181818,0.4
Cc1ccncc1Oc1ccc2nc(COc3cccc(C(=O)O)c3)n(C)c2c1,0.8,1.29,1.183,2.66,0.982,0.99,0.665,1.5570474,1.246175,1.0364875,1.3803403,0.745093204,0.35483871,0.373134328,0.803278689,0.35483871
c1nc(N[C@H]2CC[C@H](N3CC4(COC4)C3)CC2)c2c(C3CCOCC3)c[nH]c2n1,0.8,1.13,0.99,1.989,0.908,1.355,1.016,0.7081381,1.0621268,1.5498698,0.8189113,0.07770196,0.197183099,0.268656716,0.777777778,0.197183099
CS(=O)(=O)NC(=O)NCc1cn(-c2ccc(Cl)cc2)nc1-c1ccncc1,0.81,0.8,1.364,0.622,0.95,1.174,1.091,1.1406806,0.92123854,0.6423348,1.2351896,0.632038574,0.338983051,0.388059701,0.375,0.338983051
N#CCCCn1cc(-n2ccc3cnc4[nH]ccc4c32)cn1,0.81,2.55,2.416,1.97,1.801,1.39,2.215,2.1292448,1.8127527,1.9784834,2.0546172,1.691334111,0.206896552,0.264705882,0.388888889,0.206896552
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)COCCOCCOCCOCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1,0.84,2.18,2.337,2.264,2.669,1.14,1.071,1.9177957,0.6061542,1.8569438,2.0360596,2.93,0.20979021,0.246268657,0.289772727,0.20979021
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1cccnc1,0.84,1.54,1.62,0.561,0.811,0.91,1.432,1.2661352,1.1065356,1.1890312,0.75137126,1.460670547,0.292307692,0.302631579,0.372881356,0.292307692
COc1ccc(CN(C)C)cc1-c1cc2c(-c3ccc(C(=O)O)c(C(C)C)c3)ccnc2[nH]1,0.85,3.09,2.235,3.627,2.149,2.339,2.523,2.5746362,2.3178592,2.4609232,1.7425382,2.38,0.294871795,0.380434783,0.292682927,0.294871795
Cc1cc2ccnc(NC3CCNCC3C(=O)N[C@@H]3CCCOC3)c2[nH]c1=O,0.85,0.39,0.95,1.096,0.715,0.382,0.75,0.57424164,0.38909197,0.62502,0.16613531,-1.928017289,0.233766234,0.255813953,0.553846154,0.233766234
Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O,0.86,2.04,0.951,2.701,1.158,1.004,1.101,1.0900182,0.96329904,1.4770433,1.1433846,0.307583003,0.353658537,0.349206349,0.360655738,0.353658537
Cc1c(N2CC[C@@H](C3(N)CC3)C2)c(F)cc2cc(Cc3n[nH]c(=O)o3)c(=O)n(C3CC3)c12,0.87,2.04,1.112,2.462,1.409,0.794,-0.041,0.5984911,0.5767851,1.5051401,1.310158,0.83210727,0.195876289,0.237113402,0.402439024,0.231578947
CN1C(=O)c2cccc(F)c2CN2C[C@@H]1C1(CC1)C2,0.9,1.07,1.161,1.607,0.816,1.322,0.924,0.84964573,0.7431741,1.0725105,0.6923883,1.06,0.260869565,0.281690141,0.293478261,0.260869565
O=C(CC1SCCNC1=O)Nc1ccc2c(c1)OCO2,0.9,0.79,0.946,1.169,0.252,0.372,1.224,0.9674274,0.4505769,1.0495113,0.08033347,0.360239241,0.406779661,0.436363636,0.389830508,0.406779661
O=C(O)CC(NC(=O)c1cccc(-c2ccc(Cl)cc2)c1)c1cccnc1,0.9,1.28,0.457,2.825,0.678,1.367,0.847,1.1178128,0.7348815,0.37219346,1.0265883,0.482227028,0.410714286,0.462686567,0.383561644,0.410714286
C[C@H](Oc1cc2cc(F)ccc2nc1N)c1cc(C(=O)O)ccc1-n1cccn1,0.9,1.88,0.874,2.11,1.16,1.334,1.471,1.4038926,1.2270492,1.2727771,0.59645045,0.958060423,0.274193548,0.311111111,0.37804878,0.274193548
O=C(N[C@H]1CCN(c2nccn3ccnc23)C1)C1[C@H]2CN(C(=O)C3C[C@@H]4CC[C@H]3O4)C[C@@H]12,0.9,0.9,0.969,1.562,0.942,1.037,1.232,1.2289219,0.7147372,0.83728826,0.9665189,-1.037348864,0.195121951,0.302325581,0.307692308,0.195121951
CN1C(=O)c2ccc(F)cc2CN2C[C@@H]1C1(CC1)C2,0.9,1.12,1.468,1.563,1.183,1.341,0.958,0.69717765,1.0530394,1.1232556,1.2586441,0.941986952,0.283783784,0.3,0.303370787,0.283783784
CN1C(=O)c2cc(F)ccc2CN2C[C@@H]1C1(CC1)C2,0.9,1.17,1.453,1.684,0.882,1.334,1.062,0.53847265,1.1183082,0.88415945,1.5302165,0.918573287,0.301369863,0.305555556,0.303370787,0.301369863
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.9,0.13,0.492,0.36,0.159,-0.028,0.352,0.20412421,-0.036623716,-0.11832261,0.38940823,0.015679835,0.393939394,0.306122449,0.393939394,1
CN(C)C(=O)c1cc(N2C(=O)NC(C)(C)C2=O)ccc1F,0.9,0.74,1.32,0.588,0.683,0.714,0.64,0.9394419,0.34343147,0.31390643,0.6033553,0.873638526,0.29787234,0.313432836,0.436363636,0.29787234
COc1ccc(CC(=O)Nc2cnn(C)c2)cc1OC,0.9,1.24,0.936,1.095,0.584,1.347,1.25,1.1728532,0.79256463,1.0844656,0.45968413,1.157792978,0.403846154,0.533333333,0.421875,0.403846154
COc1ccc(NC(=O)C2SCCNC2=O)cc1,0.9,1.25,0.332,0.93,0.201,-0.017,0.48,0.9663782,0.37073052,0.8789017,0.57219505,0.64669423,0.452380952,0.410714286,0.413043478,0.452380952
COc1cc(-c2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)Nc1ccccc1F,0.9,1.64,1.09,2.861,0.149,1.255,0.629,1.0679688,1.2094114,0.5649812,1.2732507,1.205004454,0.35,0.649122807,0.448275862,0.35483871
CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC(OC)C4)C3)ncnc21,0.9,0.74,1.186,1.12,1.034,0.581,1.086,1.6294107,0.3776853,1.1974503,1.2552536,0.680185798,0.235294118,0.333333333,0.538461538,0.235294118
CCn1c(-c2cnc(C)nc2)nc2c(O[C@H]3CCN(C(=O)N4CC(OC)C4)C3)ncnc21,0.9,0.46,0.682,1.416,0.635,0.147,0.987,1.1077019,0.31455326,0.84431744,0.3271017,0.531369241,0.234042553,0.369863014,0.513157895,0.25974026
COc1ccc(CC(=O)Nc2cnn(C(C)C)c2)cc1OC,0.9,2.05,1.777,2.354,1.67,2.24,2.078,1.9097708,1.9932747,1.5538423,1.7136737,1.931175788,0.433962264,0.507936508,0.537313433,0.433962264
COc1ncccc1Oc1ccc2nc(COc3cccc(C(=O)O)c3)n(C)c2c1,0.9,1.1,0.966,2.783,0.553,0.596,0.724,1.0921396,0.5930848,0.92880905,0.83692896,0.277478349,0.372881356,0.373134328,0.803278689,0.372881356
COc1cncc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)c1,0.9,1.32,0.877,2.645,0.723,1.016,0.69,1.04491,1.1715413,0.72733366,1.1376966,-0.289496883,0.410714286,0.384615385,0.875,0.410714286
Cc1cc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)ccn1,0.9,1.4,1.282,2.559,0.807,1.053,0.588,1.3764651,1.2648383,1.4923651,1.3720088,0.783898867,0.379310345,0.412698413,0.818181818,0.4
CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.9,3.44,3.111,3.567,1.35,1.986,3.891,3.7000818,1.4136779,1.2948859,2.446453,4.973516584,0.263157895,0.457446809,0.602739726,0.263157895
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0.91,1.29,1.18,0.9,1.41,0.909,0.804,0.7411932,-0.14355159,1.5068417,1.4184306,0.646926119,0.675675676,0.454545455,0.487804878,0.675675676
CC1(N)CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,0.92,1.79,2.106,2.713,2.182,1.078,1.44,2.2760365,1.578177,0.9965646,2.157516,0.095397348,0.270833333,0.295774648,0.3125,0.311111111
